,"(-1, -1, -1)","(-1, -1, 0)","(-1, -1, 1)","(-1, 0, -1)","(-1, 0, 0)","(-1, 0, 1)","(-1, 1, -1)","(-1, 1, 0)","(-1, 1, 1)","(0, -1, -1)","(0, -1, 0)","(0, -1, 1)","(0, 0, -1)","(0, 0, 0)","(0, 0, 1)","(0, 1, -1)","(0, 1, 0)","(0, 1, 1)","(1, -1, -1)","(1, -1, 0)","(1, -1, 1)","(1, 0, -1)","(1, 0, 0)","(1, 0, 1)","(1, 1, -1)","(1, 1, 0)","(1, 1, 1)"
"(300, 20, 0, 0, (1, 1, 1))",1798.3182648017425,8609.80857508553,9098.652750053368,10676.054564455055,13014.00321323035,9669.26072975113,5333.910120289865,12323.537551408894,13684.08703936834,2612.3718798680907,7501.480418017682,11220.659022902519,9792.923164586173,11254.16676525878,12269.655628376542,7867.6982885986245,12466.671522636934,16511.01549392483,7610.494403113828,341.3624740951953,3236.293750455959,4964.323857822731,10164.713277644789,7351.1039938006,3893.6818884089826,13167.141249407501,12680.254580732335
"(367, 40, 0, 0, (1, 1, 1))",-0.053570255396194144,-0.052635889119344574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.052952544602227314,0.0,0.0,-0.05209839328926544,0.0,0.0,581.4146333109761,14545.769632612264,0.0,0.0,0.0,0.0,0.0,0.0,-0.05143455642182265,0.0,0.0,-0.052031345374516084
"(367, 40, 315, 315, (1, 1, 1))",0.0,0.0,-0.05296996603100193,0.0,385.72610027792086,-0.052635889119344574,0.0,12984.09297917589,0.0,-0.10272503165372132,-0.10141253618042437,0.0,0.08683387886435018,1162.8495103051869,36.460131469823686,0.0,373.4690155298486,0.0,0.0,0.0,0.0,-0.05274311195410878,-0.05240150253296885,0.0,96.10829478815039,0.0,0.0
"(430, 60, 315, 270, (1, 1, 1))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05363057493636432,0.0,0.0,0.0,0.0,0.0,-0.05157247611166304,0.0,0.0,-0.05309891593242884,-0.052849445577047655,0.0,0.0,-0.052171170424794924,-0.051959425731023634,0.0,0.0,-0.051514328999918334
"(487, 80, 315, 315, (1, 1, 1))",0.0,0.0,0.0,0.0,-0.05240150253296885,-0.051698993104511586,0.0,-0.051698993104511586,0.0,0.0,0.0,0.0,0.0,-0.051959425731023634,0.0,0.0,0.0,-0.05182085280055096,-0.05234328952874279,0.0,0.0,-0.05169716838655306,-0.05168088672377763,0.0,0.0,0.0,0.0
"(535, 100, 315, 315, (1, 1, 1))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.051375849872025016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(570, 120, 270, 315, (1, 1, 1))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.90426680023202,0.0,0.0,0.0,0.0,0.0,0.0,-0.051994511767585766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(592, 140, 225, 270, (1, 1, 1))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05195049831411652,0.0,0.0,0.0,0.0,0.0,0.0,-0.0509187111476704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(592, 140, 225, 315, (1, 1, 1))",-0.052292789480787284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.050758684658505054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(570, 120, 180, 270, (1, 1, 1))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05264264032336942,0.0,0.0,0.0,0.0,-0.053307609251126965,-0.052292789480787284,0.0,0.0,0.0,0.0,0.0,-0.05191011859871757,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(592, 140, 135, 270, (1, 1, 1))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.051529736475184,-0.051897325200594834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(592, 140, 90, 270, (1, 1, 1))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.051529736475184,0.0,0.0,0.0,0.0,-0.05189732520059483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05154042958380632,0.0,0.0,0.0,0.0
"(600, 160, 90, 270, (1, 1, 1))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05154042958380632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05202802620457543,0.0,0.0,0.0
"(592, 180, 90, 315, (1, 1, 1))",0.0,0.0,0.0,0.0,0.0,0.0,-0.05178894432131263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0531457682980385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(600, 160, 135, 270, (1, 1, 1))",0.0,0.0,0.0,0.0,-0.05191011859871757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(592, 140, 90, 315, (1, 1, 1))",0.0,0.0,0.0,0.0,0.0,-0.05275072430289627,0.0,0.0,0.0,0.0,-0.05205955652400587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05329493217198445,0.0,0.0,0.0,0.0,0.0,0.0
"(570, 120, 90, 0, (1, 1, 1))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.053086448709664884,0.0,0.0,0.0,0.0,-0.05275072430289627,0.0,-0.051431870327415335,0.0,0.0,0.0,0.0,0.0,0.0,-0.05300934217761033,-0.053927998855883064,0.0,0.0,0.0
