,"(-1, -1, -1)","(-1, -1, 0)","(-1, -1, 1)","(-1, 0, -1)","(-1, 0, 0)","(-1, 0, 1)","(-1, 1, -1)","(-1, 1, 0)","(-1, 1, 1)","(0, -1, -1)","(0, -1, 0)","(0, -1, 1)","(0, 0, -1)","(0, 0, 0)","(0, 0, 1)","(0, 1, -1)","(0, 1, 0)","(0, 1, 1)","(1, -1, -1)","(1, -1, 0)","(1, -1, 1)","(1, 0, -1)","(1, 0, 0)","(1, 0, 1)","(1, 1, -1)","(1, 1, 0)","(1, 1, 1)"
"(300, 20, 0, 0, (1, 1, 1))",4460.809397813364,1561.5549200909181,1174.8098160102495,3136.6854872088948,6594.436434665473,2967.018686986736,2234.49951915175,5421.517960087169,8684.764388722635,4500.630512673383,1838.2634469311201,5770.197121283144,3035.405967314314,7845.694809775865,4455.506746741897,2247.151954702389,5212.397270210162,15643.284866746428,150.81740124886883,9.541046951160512,2036.2405441249507,335.0775502391323,2469.334885484914,2268.2162358548658,371.62861244602533,702.4710175207479,1853.3092132465467
"(300, 20, 315, 45, (1, 1, 1))",0.0,0.0,-0.45912496046374934,-0.4559737078135241,0.0,-0.45741096107524926,0.0,0.0,0.0,0.0,0.0,-0.45912496046374934,0.0,0.0,0.0,0.0,0.0,13355.310227138098,0.0,-0.4570130884754573,0.0,0.0,-0.45668752521182565,-0.45765209110935595,0.0,0.0,0.0
"(300, 20, 270, 90, (1, 1, 1))",0.0,0.0,0.0,-0.4569717361675613,0.0,0.0,0.0,-0.45741096107524926,0.0,-0.45912496046374934,0.0,-0.46437849298890915,0.0,0.0,0.0,0.0,-0.45741096107524926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.45668752521182565,0.0,0.0
"(300, 20, 315, 90, (1, 1, 1))",0.0,-0.45912496046374934,-0.461505228598094,-0.4562716331154006,0.0,-0.45912496046374934,0.0,0.0,0.0,-0.4569717361675613,0.0,-0.461505228598094,0.0,-0.45741096107524926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.45765209110935595,0.0,0.0,0.0,0.0
"(300, 20, 270, 45, (1, 1, 1))",0.0,0.0,-0.4618837229354906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.45912496046374934,0.0,7.599891438458887,0.0,0.0,50.183084826702654,0.0,0.0,0.0,0.0,-0.46198771145339657,-0.4561832498984923,-0.4570130884754573,-0.45916563944553845,0.0,1068.6805462204986,-0.45765209110935595
"(367, 40, 270, 45, (1, 1, 1))",0.0,-0.45912496046374934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.45916563944553845,0.0,-0.4561832498984923,-0.4570130884754573,0.0,0.0,0.0,0.0,0.0,0.0,672.3276450130579,0.0,0.0,-0.4594545621766652,0.0,0.0,0.0
"(300, 20, 225, 45, (1, 1, 1))",0.0,0.0,-0.46395066203846014,-0.4579350658005512,0.0,-0.4618837229354906,0.0,0.0,0.0,0.0,0.0,0.0,-0.4579350658005512,0.0,0.0,0.0,45.15539836219938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(300, 20, 180, 90, (1, 1, 1))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4618837229354906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4667517099507625,0.0,0.0,0.0,0.0,0.0,0.0
"(300, 20, 225, 90, (1, 1, 1))",0.0,0.0,0.0,0.0,0.0,-0.46437849298890915,0.0,-0.45912496046374934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4569717361675613,0.0,-0.461505228598094,-0.46140607045960613,-0.4643933863456505,-0.4663093036188121,0.0,0.0,-0.46421519126192196,0.0,0.0,0.0
"(300, 20, 270, 135, (1, 1, 1))",0.0,0.0,-0.4654702971311176,0.0,-0.461505228598094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.45912496046374934,0.0,0.0,-0.45741096107524926,0.0,0.0,0.0,-0.46421519126192196,0.0,-0.45916563944553845,-0.46126034802305527,0.0,0.0,0.0,-0.45951042043307544
"(300, 20, 315, 135, (1, 1, 1))",0.0,0.0,0.0,-0.45741096107524926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.45776511886050253,0.0,0.0,0.0,0.0,0.0,-0.45765209110935595,-0.45916563944553845,0.0,0.0,0.0,0.0
