,"(-1, -1, -1)","(-1, -1, 0)","(-1, -1, 1)","(-1, 0, -1)","(-1, 0, 0)","(-1, 0, 1)","(-1, 1, -1)","(-1, 1, 0)","(-1, 1, 1)","(0, -1, -1)","(0, -1, 0)","(0, -1, 1)","(0, 0, -1)","(0, 0, 0)","(0, 0, 1)","(0, 1, -1)","(0, 1, 0)","(0, 1, 1)","(1, -1, -1)","(1, -1, 0)","(1, -1, 1)","(1, 0, -1)","(1, 0, 0)","(1, 0, 1)","(1, 1, -1)","(1, 1, 0)","(1, 1, 1)"
"(300, 20, 0, 0, (1, 1, 1))",5339.765359473222,4904.4328613642565,7277.874555887947,985.773534018912,9947.02788583021,4448.977264035112,3699.7005173672133,4577.450593840069,2363.3037071643735,7669.453458535033,6306.881184344443,8199.68122618298,779.1966523470905,9256.185358255598,5100.88057318949,4904.251968958166,1863.1186412812458,2794.7925223787074,1476.74585804545,5931.171764237153,4996.169663328105,276.47762463403615,15610.97339330634,703.3548871010211,57.29548100531251,3621.6481424195035,3099.62437543898
"(367, 40, 45, 315, (1, 1, 1))",0.0,0.0,0.0,0.0,0.0,0.0,-0.05231583804415024,2.218160145174039,0.0,0.0,-0.05209839328926544,-0.051614371224177225,-0.051369703437542526,0.0,0.0,0.0,-0.05066374747426899,0.0,0.0,789.5224752294238,0.0,0.0,-0.0507457393876187,0.0,0.0,0.0,0.0
"(367, 40, 0, 0, (1, 1, 1))",8750.033107926918,4760.461126063039,3641.215580516143,1849.0349150343561,9750.508277635341,6883.331040974413,6080.716861403117,4000.259760717755,3769.3385373880183,1863.3797871839793,3032.745254568741,2405.3727495361572,1163.2035004967856,8126.5669261247285,245.14057693254327,41.06556272778273,3712.5080944867395,1772.3672252975075,209.49241501530167,1398.6447846238202,17346.09948557621,355.6901542516089,1529.7577712598195,5194.702721674092,1846.0890877344302,2465.6989617502427,603.5256459220698
"(430, 60, 0, 0, (1, 1, 1))",0.0,0.0,0.0,0.0,-0.051614371224177225,-0.050983099274857,0.0,5901.823085578867,0.0,0.0,-0.05169899310451159,0.0,0.0,0.0,0.0,0.0,0.0,-0.052031345374516084,0.0,0.0,-0.050987927569541874,0.0,0.0,-0.05195501880947437,-0.050987927569541874,0.0,0.0
"(367, 40, 315, 315, (1, 1, 1))",0.0,0.0,-0.05296996603100193,0.0,8115.006236581232,0.0,0.0,-0.052635889119344574,0.0,0.0,0.0,300.1550169136212,0.0,0.0,0.0,0.0,0.0,-0.051614371224177225,0.0,0.0,-0.051688520596066836,-0.05274311195410878,0.0,-0.05169899310451159,0.0,0.0,0.0
"(430, 60, 315, 0, (1, 1, 1))",0.0,0.0,0.0,0.0,6576.484818463215,0.0,-0.05209839328926544,0.0,0.0,0.0,0.0,-0.05072120093184671,0.0,0.0,-0.0507457393876187,0.0,0.0,0.0,-0.052171170424794924,0.0,0.0,-0.051959425731023634,0.0,-0.050987927569541874,0.0,0.0,-0.05195501880947437
"(430, 60, 270, 45, (1, 1, 1))",-0.0521940691064082,0.0,0.0,0.0,0.0,-0.051786323189354146,6906.813124104225,827.5597543494143,0.0,0.0,0.0,0.0,-0.051688520596066836,0.0,0.0,0.0,0.0,0.0,0.0,-0.051247895189532294,0.0,0.0,0.0,0.0,-0.05151432899991833,0.0,0.0
"(487, 80, 315, 0, (1, 1, 1))",0.0,-0.051688520596066836,-0.05072120093184671,0.0,0.0,9036.907552354192,-0.05169899310451159,-0.05159952114179944,0.0,0.0,-0.05116233704413417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05169716838655306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(430, 60, 315, 45, (1, 1, 1))",384.58910439740464,1243.7759094459202,1681.6268538599018,4014.89799226544,4864.7341605425745,8742.710975628275,5207.192934010817,227.14574785700822,3245.0848607554453,447.86084507802866,1302.8698571212103,10094.484631274347,1183.1752442317595,9667.536305225647,6335.546997467776,701.8660144883205,7197.149256402465,180.64243352743125,214.84582729068012,19274.007714411222,10996.384777024366,2145.8720070286986,289.5861593034664,-0.23811176874093526,27.412387875043578,-0.14079810097367554,775.5725353275849
"(487, 80, 270, 45, (1, 1, 0))",4771.221703507678,4502.518737479314,545.7644341555184,2508.9077030656194,2076.751932740737,2429.4846640962646,99.23721464782527,374.3589041424181,163.72352320230192,2042.96577199361,10304.453016012485,832.3891021770116,982.4540165098717,2991.1888276179516,1574.129315005892,1841.2736897184982,2782.9064725929584,5.693884898426144,518.2771652151848,2673.862870990597,1659.7985403235978,458.80363187693615,2529.6222273386184,1467.2871347960172,131.82289473566462,64.94672783273433,2352.502809551077
"(430, 60, 225, 0, (1, 1, 0))",10303.177883816288,313.97865691885784,0.0,0.0,0.0,-0.052846419318695693,0.0,783.7624668760978,0.0,0.0,1144.9990645207217,0.0,-0.05147205662771967,206.76588294928717,225.67866855174776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.051348923401018876,666.8219101861666,0.0
"(367, 40, 225, 45, (1, 1, 0))",0.0,-0.05345911736016874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.73756429784473,-0.052846419318695693,-0.05336268761296939,0.0,0.0,8046.264470108568,0.0,193.78671678033083,0.0,-0.05282451139011915,0.0
