,"(1, -1, -1)","(1, -1, 0)","(1, -1, 1)","(1, 0, -1)","(1, 0, 0)","(1, 0, 1)","(1, 1, -1)","(1, 1, 0)","(1, 1, 1)"
"(300, 20, 0, 0, (1, 1, 1))",-0.6966183298099373,47.30917497691297,22.903444075641474,2.42353549611409,2.11497223397555,349.6314637048092,70.7371479216393,4389.5023210307245,200.92931432180507
"(367, 40, 45, 0, (1, 1, 1))",1229.187644866693,4878.182581722011,591.2487783860897,405.6669758539201,696.3301889433583,-0.31648542926789347,-0.3491485105602749,-0.2631286657421711,-0.3346217557367896
"(430, 60, 0, 315, (1, 1, 1))",-0.1860108183895726,-0.19202296722996895,4187.114768669237,-0.19096442025888258,-0.19420736325048427,-0.14952956062317302,-0.1900228072180717,31.367207593746972,-0.16144232903759004
"(487, 80, 315, 270, (1, 1, 1))",-0.05462885454869611,-0.053537644956263536,-0.10017067851003011,-0.05382842093805556,-0.10017067851003011,-0.10394240095958603,-0.05405645236432485,-0.05303872832066667,-0.05290036737421322
"(535, 100, 315, 315, (1, 1, 1))",-0.10155590302754479,-0.10020049985210891,-0.10586126325038414,-0.10020049985210891,-0.0994864253327146,465.7357805253756,-0.10581150984329125,-0.1058312238469212,121.36319019920812
"(570, 120, 270, 0, (1, 1, 1))",-0.10219291439228398,-0.10297018151644081,-0.05525559614051262,-0.1001717755045798,-0.10122212520987402,209.0366961912331,-0.05720476888924522,-0.10495647946897999,-0.05442611144691054
"(592, 140, 225, 0, (1, 1, 1))",-0.04085809393080179,-0.05521272685429771,-0.056280418162204415,-0.05368127950978568,0.025448722239878364,-0.05521272685429771,-0.05263746059182284,0.0,-0.03725358887974656
"(600, 160, 180, 0, (1, 1, 1))",0.0,0.0,0.0,0.012823457129159877,13.88225161999577,-0.056120766268692994,-0.053483840445713915,-0.05396828302692284,0.0
"(592, 180, 225, 0, (1, 1, 1))",0.0,-0.054770212349070396,-0.055848153397351254,-0.05319900709980424,0.0,-0.054770212349070396,-0.05215792042459564,-0.05283818097712605,0.0
"(570, 200, 180, 0, (1, 1, 1))",-0.054385620302196284,0.0,0.0,0.0,-0.054385620302196284,0.0,0.0,-0.053297390379494096,98.2269501397002
"(535, 220, 135, 315, (1, 1, 1))",-0.053892954260961995,-0.05387164119334632,0.0,0.0,0.0,0.0,0.0,-0.053374151167729846,0.0
"(487, 240, 90, 315, (1, 1, 1))",-0.052474310095936394,0.0,-0.0538410663080453,-0.05332717517623933,-0.053290943738599876,-0.054226642561835216,-0.05371579014077991,0.0,-0.054043707530398034
"(430, 260, 45, 0, (1, 1, 1))",-0.0513942442385362,0.0,-0.05328806499904322,-0.052186269731540204,0.0,-0.05422031049582959,-0.052650757685353836,0.0,0.0
"(367, 280, 0, 45, (1, 1, 1))",0.0,0.0,494.56886476953116,-0.05209897860240255,0.0,0.0,-0.05273358111088532,0.0,-0.05400207221226862
"(300, 300, 45, 90, (1, 1, 1))",-0.05224678797235052,-0.05231143535403598,0.0,0.0,-0.053341976652616876,-0.05317350140593805,0.0,0.0,0.0
"(233, 320, 0, 45, (1, 1, 1))",-0.051681075019657574,0.0,0.0,-0.05189236298638464,0.0,0.0,0.0,-0.052504176564446385,0.0
"(170, 340, 315, 0, (1, 1, 1))",0.0,-0.051944740308067776,0.0,-0.05273644316278116,-0.052168087046159495,-0.05126802802388211,-0.052168087046159495,-0.052109772360724706,-0.051782478511729214
"(113, 360, 0, 315, (1, 1, 1))",0.0,0.0,-0.052631711212748455,0.0,0.0,-0.052422221682986485,-0.05132991018140074,-0.051642457394217814,0.0
"(65, 380, 45, 315, (1, 1, 1))",-0.05283818097712607,-0.05301259469217006,0.0,0.0,0.0,0.0,0.0,0.0,-0.051038599568046975
"(30, 400, 0, 270, (1, 1, 1))",0.0,-0.053971662369782174,-0.053903981556167296,0.0,0.0,0.0,0.0,-0.0519888729504823,0.0
"(8, 420, 45, 270, (1, 1, 1))",-0.052549971779545304,0.0,-0.05348899445047794,-0.05149208605107525,0.0,0.0,0.0,0.0,0.0
"(0, 440, 0, 225, (1, 1, 1))",0.0,-0.05348071177625548,0.0,0.0,0.0,0.0,-0.05049302412036071,-0.05141343267823865,-0.052168019180631624
"(8, 460, 45, 225, (1, 1, 1))",0.0,0.0,-0.0531929110545267,0.0,-0.05122931313214666,-0.052107919431530286,0.0,0.0,0.0
"(30, 480, 45, 225, (1, 1, 1))",0.0,-0.0521065750810409,0.0,0.0,-0.05098130759075206,0.0,89.94881439826332,0.0,0.0
"(65, 500, 45, 225, (1, 1, 1))",0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,-0.05078864392500219
"(113, 520, 90, 270, (1, 1, 1))",0.0,-0.05195583483029839,-0.05298255005284111,0.0,0.0,-0.05204114735666715,1000.0,0.0,0.0
"(170, 540, 45, 270, (1, 1, 1))",0.0,0.0,0.0,0.0,0.0,0.0,-0.05126191947024518,0.0,0.0
"(233, 560, 90, 225, (1, 1, 1))",0.0,0.0,0.0,0.0,-0.05193508498108987,-0.05196537302448219,0.0,-0.051695596741587996,0.0
"(300, 580, 90, 225, (1, 1, 1))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(367, 40, 45, 315, (1, 1, 1))",-0.256094123622735,739.2464120888214,-0.2573726307909824,-0.26039409488898135,-0.27082006400368086,-0.24336597551271752,-0.25624373740908474,-0.2540344799620813,-0.23381728833547405
"(487, 80, 315, 315, (1, 1, 1))",-0.14508701783147418,-0.1476623823960556,-0.11148964930062762,-0.14762135986782704,-0.18180789489903323,69.32172736930656,-0.14861911686607104,-0.1053948611280695,-0.10720071159502237
"(535, 100, 0, 0, (1, 1, 1))",227.26838136703762,587.3112870924484,28.070017807371766,25.254747786479797,280.06360534451983,6694.578510453471,26.671252504050194,941.7393553614634,1543.7456826102375
"(570, 120, 45, 315, (1, 1, 1))",-0.10122212520987402,-0.10616147768542294,-0.09175681999898484,-0.10331078600052729,-0.10340961174913002,344.5480630498596,-0.10498563266697397,-0.1047535934233944,-0.05594815914401552
"(592, 140, 0, 315, (1, 1, 1))",-0.10001117512446339,-0.09969647227244985,-0.057749060302164146,-0.10118713878386001,-0.10616512873029994,-0.10816006643836715,-0.10328384121390227,-0.05446416222568197,-0.05541866621929712
"(600, 160, 315, 270, (1, 1, 1))",-0.05410841999842737,-0.05300457686495041,-0.05244835566047598,-0.053483840445713915,-0.05244835566047598,-0.05234252713228052,-0.05396828302692284,-0.05310764884305705,-0.05330633366734031
"(592, 180, 270, 270, (1, 1, 1))",-0.054941052021754894,-0.05384408072872369,0.0,-0.05384408072872369,-0.052734987891422294,-0.05215792042459564,-0.05319900709980424,-0.05215792042459564,2.161707821798188
"(570, 200, 315, 225, (1, 1, 1))",0.0,-0.05353549285043239,-0.05242222168298641,0.0,0.0,0.0,0.0,0.0,34.74541633197934
"(535, 220, 270, 270, (1, 1, 1))",-0.054306642302762144,-0.05320998766063506,-0.05241359039448856,-0.05320998766063506,-0.052109772360724615,0.0,0.0,-0.051308653689705254,-0.051241095743175716
"(487, 240, 315, 315, (1, 1, 1))",-0.05189236298638455,-0.050868999352981364,0.0,0.0,0.0,-0.05184338253561363,-0.05135093884652382,0.0,455.5234961731139
"(430, 260, 0, 270, (1, 1, 1))",0.0,0.0,898.745582433171,0.0,-0.05069677503173861,0.0,-0.052718962464555846,0.0,-0.052186269731540204
"(367, 280, 45, 225, (1, 1, 1))",0.0,0.0,0.0,0.0,-0.05209897860240249,-0.05114148534666654,0.0,-0.05316112529409424,-0.05209897860240249
"(300, 300, 45, 270, (1, 1, 1))",0.0,0.0,-0.051273410778722564,0.0,0.0,62.61233167546594,0.0,-0.05153053472606281,0.0
"(233, 320, 0, 315, (1, 1, 1))",-0.052333334680597136,0.0,-0.051681075019657574,0.0,-0.051681075019657574,-0.05189236298638464,-0.05024225746905486,0.0,0.0
"(170, 340, 45, 270, (1, 1, 1))",0.0,0.0,0.0,0.0,-0.05082173702809992,0.0,0.0,0.0,0.0
"(113, 360, 45, 270, (1, 1, 1))",-0.05190988448174299,0.0,0.0,-0.051095095468274204,-0.05132991018140074,0.0,0.0,0.0,0.0
"(65, 380, 45, 225, (1, 1, 1))",-0.05129158649797121,0.0,0.0,0.0,-0.05129158649797121,0.0,0.0,-0.051721179129869836,-0.05129158649797121
"(30, 400, 90, 270, (1, 1, 1))",-0.05144086297204296,0.0,0.0,-0.05166323987521079,-0.05144086297204296,0.0,0.0,0.0,0.0
"(8, 420, 45, 225, (1, 1, 1))",-0.05149208605107525,0.0,-0.05325638883361057,0.0,0.0,42.297911273633396,0.0,-0.09796401021629272,0.0
"(0, 440, 0, 180, (1, 1, 1))",-0.05141343267823865,0.0,-0.05348071177625548,-0.05064598822847775,0.0,0.0,0.0,0.0,0.0
