,"(-1, -1, -1)","(-1, -1, 0)","(-1, -1, 1)","(-1, 0, -1)","(-1, 0, 0)","(-1, 0, 1)","(-1, 1, -1)","(-1, 1, 0)","(-1, 1, 1)","(0, -1, -1)","(0, -1, 0)","(0, -1, 1)","(0, 0, -1)","(0, 0, 0)","(0, 0, 1)","(0, 1, -1)","(0, 1, 0)","(0, 1, 1)","(1, -1, -1)","(1, -1, 0)","(1, -1, 1)","(1, 0, -1)","(1, 0, 0)","(1, 0, 1)","(1, 1, -1)","(1, 1, 0)","(1, 1, 1)"
"(300, 20, 0, 0, (1, 1, 1))",15098.393952859376,12808.543136506985,15003.904830211159,13019.982517349586,15563.844018132228,18982.928668216115,14723.50221612004,14657.840488466554,10077.360591066648,18722.452081331023,15029.439627660064,17838.105349844693,14562.731896925969,16096.439763343584,16987.130563430845,14563.851524923199,13398.8050055003,8897.628731960744,10643.981507991857,12786.552563758476,24218.689837325233,11245.351922767037,6459.002577219545,8614.849499785825,7088.399455257407,3108.763298807521,3626.903456283134
"(367, 40, 0, 0, (1, 1, 1))",0.0,0.0,0.0,0.0,0.0,2170.9579031315657,0.0,0.0,0.0,0.0,15181.875795093618,0.0,386.1281016700709,0.0,0.0,0.0,0.0,592.2817276303982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(430, 60, 0, 315, (1, 1, 1))",1004.0347979197991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(487, 80, 315, 0, (1, 1, 1))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(430, 60, 0, 0, (1, 1, 1))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9492.897136695628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(367, 40, 315, 0, (1, 1, 1))",0.0,2289.579025248927,0.0,0.0,0.0,1783.7826817731884,19570.980552196394,0.0,1240.073732879189,5016.14962542351,0.0,0.0,0.0,0.0,3156.3839506006602,2299.3487802015143,0.0,0.0,0.0,101.73812710538178,0.0,0.0,1942.301773096166,0.0,0.0,0.0,0.0
"(300, 20, 315, 0, (1, 1, 1))",0.0,2690.9655371687786,0.0,0.0,0.0,0.0,1868.2218092033356,0.0,0.0,0.0,2592.4884472605427,0.0,2211.7753182482656,2921.757789375666,0.0,0.0,0.0,21418.349655216385,0.0,2215.7134351441923,0.0,390.8221151943281,0.0,2158.7902471976063,646.8373229621365,0.0,1051.5763412024069
"(300, 20, 270, 0, (1, 1, 1))",7120.9673129414505,4550.236397735584,7232.272213628213,29899.617083117606,13802.375265762557,8578.547327119206,13044.678421965658,7280.330854939273,9308.622233632233,4880.332385169386,2926.465544408564,5447.869678872759,15322.217953773445,15015.466694110788,5643.688982702866,11636.53989475565,3560.7291442658393,8360.848846784458,3516.9287146311717,2594.9728836996615,1828.4913895576274,16845.651945768856,8460.146485553816,7376.057615866213,3722.593237236907,10210.305114514065,9285.083447152447
"(300, 20, 270, 45, (1, 1, 1))",0.16337928705124208,53.58231000000001,102.19573520068535,4393.933693281167,0.0,0.0,0.0,1784.174285036156,0.0,0.0,0.0,0.0,0.0,0.0,1851.8028041737941,0.0,0.0,1476.299430531943,13.939364483879789,0.0,0.0,0.0,0.0,0.0,17123.322226487002,0.0,0.0
"(367, 40, 270, 45, (1, 1, 1))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19573.130020831457,0.0,0.0,0.0,0.0,451.7233873908289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(367, 40, 270, 90, (1, 1, 1))",6675.070541122885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8979210198971277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.591393624408003,0.0,0.0,0.0,0.0,0.0
"(430, 60, 315, 90, (1, 1, 1))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20699.67301415644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(430, 60, 0, 135, (1, 1, 1))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(487, 80, 315, 90, (1, 1, 1))",0.0,607.0766854441805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(430, 60, 270, 135, (1, 1, 1))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(430, 60, 225, 180, (1, 1, 1))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(487, 80, 270, 135, (1, 1, 1))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
