,"(1, -1, -1)","(1, -1, 0)","(1, -1, 1)","(1, 0, -1)","(1, 0, 0)","(1, 0, 1)","(1, 1, -1)","(1, 1, 0)","(1, 1, 1)"
"(300, 20, 0, 0, (1, 1, 1))",4672.913003807544,4663.47002767664,4648.636519307426,4656.314292511702,4634.312416214615,4616.583065082941,4657.06124858186,4652.507341016308,4626.742842409427
"(367, 40, 315, 0, (1, 1, 1))",-0.2845339170113599,412.1801318301814,-0.2889625351717817,-0.26781093776730247,900.7502793098831,32.68825362941308,1960.3217735562052,5190.946850985785,269.2450991064346
"(430, 60, 315, 45, (1, 1, 1))",-0.14807350734575422,-0.15084075123938506,-0.14872891004301578,1733.8977519359896,-0.1068103754733184,-0.1526331349350391,-0.10636731560043394,-0.10843521288827823,-0.10984312987391068
"(487, 80, 315, 45, (1, 1, 1))",12.787944549273108,-0.15141427522597672,-0.1046331501592943,-0.14818027761432057,-0.10749731099110729,392.3123483588132,-0.10710617216769508,-0.10923149155950751,-0.10554796417210198
"(535, 100, 315, 90, (1, 1, 1))",-0.05428249105315987,-0.05520120439953781,-0.0555956389105703,1250.721728470356,-0.05502107487765678,-0.10488228835912183,-0.05517372000923985,-0.05580231466618324,0.08466369646735979
"(570, 120, 270, 45, (1, 1, 1))",-0.05419483237707411,-0.05525559614051262,-0.05619688157226019,51.19821066179071,-0.054374097895014364,-0.05525559614051262,-0.05334513032862828,-0.05442611144691054,-0.055133470222839154
"(592, 140, 225, 0, (1, 1, 1))",-0.054680684886209134,-0.05521272685429771,-0.056280418162204415,0.0,-0.05414076460572603,-0.05521272685429771,-0.05263746059182284,-0.053256388833610536,-0.03755741023039275
"(600, 160, 180, 0, (1, 1, 1))",0.0,-0.05575627447262493,-0.056832051806961374,-0.0366184342073559,-0.10203730197880999,0.0,-0.005907354701879181,-0.05396828302692284,-0.0550475748929173
"(592, 180, 225, 0, (1, 1, 1))",-0.05420943716646801,0.0,0.0,0.0,-0.053685598494518975,-0.054770212349070396,0.0,1713.2330138541713,0.0
"(570, 200, 225, 45, (1, 1, 1))",-0.054385620302196284,0.0,0.0,0.0,0.0,-0.05530327791757007,0.0,-0.053563798329752305,0.0
"(535, 220, 225, 90, (1, 1, 1))",0.0,-0.055876407772041836,0.0,0.0,-0.054829324859271195,0.0,0.0,-0.053892954260961995,0.0
"(487, 240, 180, 90, (1, 1, 1))",-0.05513862516320028,0.0,-0.05615760416572157,0.0,-0.05533424627529976,0.0,-0.05332717517623933,-0.054293587627961486,-0.05478198587181914
"(430, 260, 225, 45, (1, 1, 1))",0.0,0.0,0.0,0.0,0.0,-0.05372742614729891,11661.511173472893,-0.051828061465740254,246.28647375545694
"(367, 280, 270, 45, (1, 1, 1))",2643.8547565421104,511.9977528663692,837.5542957297716,15311.728249188778,3874.4038145952886,0.3808315009527172,3277.423657855401,1163.6765281976968,0.0
"(300, 300, 270, 45, (1, 1, 1))",0.0,23.011482293549424,37.10739892539374,15902.455403911279,1483.2673312084703,777.4442202302741,-0.051273410778722564,2562.2815725331097,310.22608078273794
"(233, 320, 270, 0, (0, 1, 1))",6156.25973079661,6558.265884872379,6450.865453642873,5429.77105548272,6486.919482859698,6216.012878015989,6494.680349821081,6328.773982014893,6014.6186707004435
"(170, 340, 225, 315, (0, 1, 1))",-0.051484498010436454,-0.051885654611514745,660.6530962894284,1839.5677810127318,234.79578180002844,724.5535059462202,0.0,-0.053908771381900346,7286.811147995518
"(113, 360, 225, 315, (0, 1, 1))",-0.25240044281222196,-0.25802477016320224,-0.25909208105296466,4846.695274030788,-0.275558593115233,-0.2675399635125764,-0.2738732873334527,-0.2829909757883181,-0.2955429238513269
"(65, 380, 270, 270, (0, 1, 1))",-0.14778251390217031,-0.15817201246913784,-0.11151469767640204,72.14122022090004,-0.11236894695599746,-0.12324269070438487,-0.10202891781914061,-0.11312850151711487,-0.11982720161894649
"(30, 400, 270, 270, (0, 1, 1))",7711.814813177269,-0.20216472438268573,-0.16433081661693846,-0.1939315685754871,-0.16228408625477342,-0.1776464072870041,-0.14630017912835153,-0.21131849972948,-0.17871461805318684
"(8, 420, 315, 315, (0, 1, 1))",-0.2900921382488165,-0.2700101011861814,-0.2890457310380661,-0.25190792097449033,-0.267296137151317,-0.2836057727610566,-0.2800762404607187,-0.25094585356139343,-0.26275199656044973
"(0, 440, 0, 315, (0, 1, 1))",-0.21347302305269536,-0.1752476283425814,-0.2244445946527615,-0.20360758158808237,-0.1658162352458144,-0.17862621331972509,-0.20035148481647758,-0.16742593509337536,-0.21427388637153616
"(8, 460, 0, 270, (0, 1, 1))",-0.16103067777347274,-0.16832614479508373,-0.1161923318917712,-0.16037784251568576,-0.16375962311408304,-0.11571606289479938,-0.14972681333600404,-0.16155100440150857,-0.16798731029050917
"(30, 480, 0, 225, (0, 1, 1))",-0.15418915555256807,-0.10783905573171691,-0.11444651922798083,-0.16353866241054368,-0.10775457869313758,-0.16395254187033664,-0.12630263591417284,-0.15882203694233377,-0.10864566736562234
"(65, 500, 315, 180, (0, 1, 1))",-0.16085742681128568,-0.14747932111900044,-0.15896668157487726,-0.16369673909486201,-0.20584060362500012,-0.1607805051635107,-0.16947425917293768,-0.15944685118637397,-0.16091387829654935
"(113, 520, 0, 135, (0, 1, 1))",-0.1675828321241956,-0.212598512952401,-0.2018975214110827,-0.16965493004591659,-0.21469145818143226,-0.21187771528261226,-0.21968061942285982,-0.21552270595582762,-0.2117532170598631
"(170, 540, 45, 180, (0, 1, 1))",-0.16321707410187336,-0.21219414231896203,-0.21265506951596913,-0.21159422639637676,-0.2122781594009095,-0.21197476026431317,-0.21451469835908885,-0.21030405563729535,-0.2052610234818675
"(233, 560, 90, 180, (0, 1, 1))",-0.15116977906138432,-0.18848231662652914,-0.1878783096886973,-0.19065961163880885,-0.18702389730937627,-0.1856164658179606,-0.1876138223397682,-0.1838459046016203,-0.18197182198078912
"(300, 580, 45, 225, (0, 1, 1))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(367, 40, 0, 0, (1, 1, 1))",1513.6231829112635,734.3990823816682,-0.2672485920995408,519.0264887713581,5183.56669391781,221.5506022154579,81.37760028889622,-0.2864363202059858,151.18457441173683
"(430, 60, 45, 0, (1, 1, 1))",-0.1556752335382661,1891.48956969915,-0.15265340857744902,-0.19796507916586437,-0.15261805278995372,-0.1600749758991012,-0.19239344888930576,-0.15453505313134053,348.921784728849
"(487, 80, 45, 45, (1, 1, 1))",-0.10711923991125516,-0.10913695213218022,-0.10554796417210198,-0.1536816725987325,-0.11131657245029264,-0.10759534702264925,-0.10554796417210198,1036.055873156418,-0.10906749824877572
"(535, 100, 0, 90, (1, 1, 1))",2.006610154902665,-0.05502107487765678,-0.05520120439953781,-0.05517372000923985,-0.05580231466618324,-0.055812384626589134,-0.06111712360077335,-0.05687418855760199,-0.056882546470416
"(570, 120, 45, 135, (1, 1, 1))",0.0,-0.05591047998950808,0.0,0.0,-0.10826754998767465,0.0,-0.057726705626208186,-0.05780510586908343,0.0
"(592, 140, 90, 135, (1, 1, 1))",-0.057036483741494004,0.0,0.0,0.0,0.0,0.0,-0.05777663073905675,-0.05797405738176379,0.0
"(600, 160, 45, 90, (1, 1, 1))",27.86366118268854,-0.05586158373817871,-0.05575627447262493,-0.0563558915926947,-0.03311067022927716,-0.056832051806961374,-0.05691951939638848,-0.05759228697937463,-0.010138421013395843
"(592, 180, 0, 135, (1, 1, 1))",0.0,-0.054770212349070396,-0.05420943716646801,-0.05562278846263137,0.0,-0.054770212349070396,2.293347325776121,-0.056571828942338614,0.0
"(570, 200, 45, 135, (1, 1, 1))",-0.05526577286846249,-0.05511584547610613,-0.054385620302196284,0.0,45.3623962649589,-0.05546786804519302,-0.056970935255484925,-0.0569823896001973,-0.0563515233588243
"(535, 220, 0, 135, (1, 1, 1))",-0.05387164119334632,-0.053892954260961995,9124.08595195131,0.0,-0.054621455356756325,48.277427825974755,0.0,0.0,0.0
"(487, 240, 0, 135, (1, 1, 1))",-0.053290943738599876,0.0,-0.0528730218107678,0.0,0.0,1533.1527192479957,0.0,-0.05513862516320028,-0.0544137419695941
"(430, 260, 315, 180, (1, 1, 1))",0.0,0.0,-0.052749653705165045,0.0,0.0,0.0,-0.05340847122496211,-0.052718962464555846,5205.087768859525
"(367, 280, 0, 135, (1, 1, 1))",0.0,0.0,0.0,0.0,-0.05273358111088529,-0.05209897860240249,70.58632434297388,0.0,-0.05316112529409425
"(300, 300, 0, 135, (1, 1, 1))",-0.05128340033821244,0.0,-0.051739264606510675,0.0,1439.07311893299,0.0,0.06611183923572889,-0.1010296526712823,-0.05253630813195986
"(233, 320, 45, 135, (1, 1, 1))",-0.05173126331000314,-0.0514132027066045,9.888602017234966,0.0,0.0,-0.0519700176482194,-0.05332717517623933,0.0,-0.05305869067717024
"(170, 340, 90, 90, (1, 1, 1))",0.0,0.0,8.043451659286124,0.0,0.0,-0.05289713313073246,-0.051949782121733436,0.0,-0.053431931712349015
"(113, 360, 90, 135, (1, 1, 1))",0.0,0.0,0.0,-0.05223571288993948,-0.052424962408085286,-0.052267901504892224,-0.052424962408085286,0.0,-0.05321465337872011
"(65, 380, 90, 180, (1, 1, 1))",-0.051042776476276,0.0,-0.05129158649797121,0.0,0.0,-0.051721179129869836,-0.052740270346393905,-0.05301737073596263,0.0
"(30, 400, 135, 135, (1, 1, 1))",0.0,-0.051759858945791784,0.0,0.0,0.0,0.0,0.0,-0.052841975012818045,-0.05352878173234082
"(8, 420, 180, 180, (1, 1, 1))",0.0,-0.05266065308026191,0.0,0.0,0.0,-0.05362535917277176,0.0,0.0,0.0
"(0, 440, 180, 225, (1, 1, 1))",0.0,-0.05243998918236414,0.0,-0.05317741826378854,-0.05343373191615395,0.0,0.0,0.0,-0.05401222894740111
"(8, 460, 135, 225, (1, 1, 1))",0.0,0.0,-0.05122931313214666,-0.052239492892245415,-0.052157488381060206,0.0,0.0,-0.05314649073293089,0.0
