,"(-1, -1, -1)","(-1, -1, 0)","(-1, -1, 1)","(-1, 0, -1)","(-1, 0, 0)","(-1, 0, 1)","(-1, 1, -1)","(-1, 1, 0)","(-1, 1, 1)","(0, -1, -1)","(0, -1, 0)","(0, -1, 1)","(0, 0, -1)","(0, 0, 0)","(0, 0, 1)","(0, 1, -1)","(0, 1, 0)","(0, 1, 1)","(1, -1, -1)","(1, -1, 0)","(1, -1, 1)","(1, 0, -1)","(1, 0, 0)","(1, 0, 1)","(1, 1, -1)","(1, 1, 0)","(1, 1, 1)"
"(300, 20, 0, 0, (1, 1, 1))",-0.053570255396194144,-0.052635889119344574,1181.7352147302213,0.0,0.0,-0.05087457411438049,15559.33641971522,0.0,0.0,12.223934728618861,7.995354801577549,-0.05152232328552869,-0.052635889119344574,0.0,89.90333830918269,1539.6984301529692,449.3061461338071,89.86261099751239,272.8323185226044,124.18704580067049,-0.05097535252576483,-0.05209839328926544,-0.09806730532593673,-0.050983099274857,0.0,-0.050983099274857,-0.05138292990096141
"(300, 20, 0, 45, (1, 1, 1))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05128459053897445,0.0,0.0,0.0,0.0,0.0,1900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.050983099274857,0.0,0.0,0.0,0.0
"(367, 40, 0, 45, (1, 1, 1))",0.0,0.0,0.0,0.0,-0.05087457411438049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05169899310451159,0.0,0.0,0.0,0.0,-0.05129537730308416,0.0,0.0,0.0
"(430, 60, 315, 0, (1, 1, 1))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.051614371224177225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05159952114179944,0.0,0.0,0.0,0.0,-0.051959425731023634,0.0,0.0,-0.05151432899991833,0.0,0.0
"(487, 80, 315, 315, (1, 1, 1))",0.0,0.0,-0.051688520596066836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(430, 60, 270, 0, (1, 1, 1))",0.0,0.0,0.0,-0.05337501904232861,0.0,0.0,0.0,-0.05209839328926544,0.0,-0.05267440400639798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05151432899991833,-0.050987927569541874
"(367, 40, 270, 315, (1, 1, 1))",0.0,-0.05396332449314694,0.0,0.0,0.0,0.0,0.0,6.433649857167822,-0.052635889119344574,0.0,0.0,0.0,0.0,-0.05337501904232861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05274311195410878,0.0,0.0,0.0,0.0
"(430, 60, 270, 315, (1, 1, 1))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05240150253296885,0.0,0.0,0.0,0.0,0.0,0.0,-0.05116233704413417,0.0,0.0,0.0
"(487, 80, 270, 0, (1, 1, 1))",0.0,0.0,-0.05140426053662881,0.0,-0.051688520596066836,0.0,0.0,0.0,0.0,0.0,-0.051022171395901386,0.0,0.0,0.0,0.0,0.0,0.0,-0.050987927569541874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(487, 80, 315, 45, (1, 1, 1))",0.0,0.0,1900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.051247895189532294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.051397221706802325,0.0,0.0,0.0,0.0
"(487, 80, 270, 90, (1, 1, 1))",0.0,0.0,0.0,0.0,-0.05140426053662881,-0.052510316002624624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.051247895189532294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(430, 60, 270, 135, (1, 1, 1))",0.0,0.0,0.0,0.0,0.0,0.0,-0.05066374747426899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05140426053662881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(430, 60, 315, 135, (1, 1, 1))",0.0,0.0,0.0,0.0,0.0,0.0,-0.050675132254560995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(367, 40, 0, 90, (1, 1, 1))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.050983099274857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(300, 20, 45, 90, (1, 1, 1))",0.0,0.0,0.0,0.0,0.0,-0.05188620044238584,-0.05128459053897445,0.0,0.0,0.0,0.0,-0.051419657082921316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0511763838531156,0.0,0.0,-0.05203509710702921,0.0,0.0,0.0
"(367, 40, 0, 135, (1, 1, 1))",0.0,0.0,-0.05334450128783404,0.0,0.0,0.0,0.0,-0.05188620044238584,0.0,0.0,0.0,-0.05274260606693063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0522052173529046,0.0,-0.051281525325304084,-0.05140426053662881,0.0,-0.05234924768853344,0.0
"(367, 40, 315, 180, (1, 1, 1))",0.0,0.0,-0.05484578140107989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0511763838531156,0.0,0.0,0.0,-0.05330567506934904,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(300, 20, 270, 225, (1, 1, 1))",0.0,0.0,0.0,-0.054361832716838934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05421839395398939,0.0,0.0,-0.05406580613353754,0.0,0.0,0.0
"(300, 20, 270, 180, (1, 1, 1))",0.0,-0.05493117651213009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05484578140107989,-0.05231583804415024,0.0,0.0,0.0,-0.054467230685560364,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(300, 20, 225, 180, (1, 1, 1))",0.0,-0.05490455968899462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05408142099679039,0.0,0.0,0.0,0.0,0.0,0.0,-0.053803770226604535,0.0
"(367, 40, 270, 180, (1, 1, 1))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.052510316002624624,0.0,0.0,0.0,0.0,-0.05267440400639798
"(367, 40, 315, 90, (1, 1, 1))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0502995504496627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(300, 20, 0, 90, (1, 1, 1))",0.0,0.0,0.0,0.0,-0.0502995504496627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0502995504496627,-0.051419657082921316,0.0,0.0,-0.05188620044238584,0.0,0.0,0.0,0.0,0.0,-0.0511763838531156,0.0,0.0,0.0
